common_name,scientific_name,alternative_common_names,alternative_scientific_names
White-tailed Ptarmigan,Lagopus leucura,,Lagopus leucurus
Dusky Grouse,Dendragapus obscurus,,
Sooty Grouse,Dendragapus fuliginosus,,
,Dendragapus obscurus,Blue Grouse,
,Dendragapus canadensis,,Falcipennis canadensis
Siberian Grouse,Falcipennis falcipennis,,Dendragapus falcipennis
Spruce Grouse,Falcipennis canadensis,,
Franklin's Grouse,Falcipennis franklinii,,
Western Capercaillie,Tetrao urogallus,Capercaillie,
Black-billed Capercaillie,Tetrao urogalloides,,
Black Grouse,Lyrurus tetrix,,Tetrao tetrix
Caucasian Grouse,Lyrurus mlokosiewiczi,Caucasian Black Grouse,Tetrao mlokosiewiczi
Sage Grouse,Centrocercus urophasianus,"Greater Sage Grouse, Greater Sage-Grouse",
Gunnison Grouse,Centrocercus minimus,"Gunnison Sage-Grouse, Gunnison Grouse, Gunnison Sage Grouse",
,Centrocercus urophasianus,,
Sharp-tailed Grouse,Tympanuchus phasianellus,,
Greater Prairie-chicken,Tympanuchus cupido,"Greater Prairie Chicken, Greater Prairie-Chicken",
Lesser Prairie-chicken,Tympanuchus pallidicinctus,"Lesser Prairie Chicken, Gallo de las Praderas Chico, Lesser Prairie-Chicken",
Horned Screamer,Anhima cornuta,,
Northern Screamer,Chauna chavaria,,
Southern Screamer,Chauna torquata,,
Magpie Goose,Anseranas semipalmata,,
White-faced Whistling-duck,Dendrocygna viduata,"White-faced Whistling-Duck, Dendrocygne veuf, White-faced Duck, White-faced Whistling Duck",
Black-bellied Whistling-duck,Dendrocygna autumnalis,"Black-bellied Whistling Duck, Black-bellied Whistling-Duck",
Spotted Whistling-duck,Dendrocygna guttata,"Spotted Whistling-Duck, Spotted Whistling Duck",
West Indian Whistling-duck,Dendrocygna arborea,"Pato Silb�n de Cuba, Suirir� Yaguaza, West Indian Tree-duck, Cuban Tree-duck, West Indian Whistling-Duck, Black-billed Wood-duck, West Indian Whistling Duck",
Fulvous Whistling-duck,Dendrocygna bicolor,"Dendrocygne fauve, Fulvous Whistling-Duck, Fulvous Whistling Duck, Fulvous Duck",
Plumed Whistling-duck,Dendrocygna eytoni,"Grass Whistling Duck, Plumed Whistling Duck, Plumed Whistling-Duck",
Wandering Whistling-duck,Dendrocygna arcuata,"Wandering Whistling Duck, Wandering Whistling-Duck",
Lesser Whistling-duck,Dendrocygna javanica,"Lesser Whistling Duck, Lesser Whistling-Duck",
White-backed Duck,Thalassornis leuconotus,Canard � dos blanc,
Black-headed Duck,Heteronetta atricapilla,,
Masked Duck,Nomonyx dominicus,,Oxyura dominica
Ruddy Duck,Oxyura jamaicensis,,
Andean Duck,Oxyura ferruginea,,
Lake Duck,Oxyura vittata,,
Blue-billed Duck,Oxyura australis,,
Maccoa Duck,Oxyura maccoa,Erismature maccoa,
White-headed Duck,Oxyura leucocephala,Malvas�a,
,Oxyura ferruginea,,
,Oxyura jamaicensis,,
,Oxyura jamaicensis,,
Musk Duck,Biziura lobata,,
Pink-eared Duck,Malacorhynchus membranaceus,,
Freckled Duck,Stictonetta naevosa,,
Cape Barren Goose,Cereopsis novaehollandiae,,
Coscoroba Swan,Coscoroba coscoroba,,
Black-necked Swan,Cygnus melancoryphus,,Cygnus melanocorypha; Cygnus melanocoryphus
Black Swan,Cygnus atratus,,
Mute Swan,Cygnus olor,,
Trumpeter Swan,Cygnus buccinator,,
Whooper Swan,Cygnus cygnus,,
Tundra Swan,Cygnus columbianus,Bewick's Swan,
,Cygnus bewickii,,
Brent Goose,Branta bernicla,"Brant, Brant Goose, Bernache cravant",
Barnacle Goose,Branta leucopsis,,
Red-breasted Goose,Branta ruficollis,Barnacla Cuellirroja,
Cackling Goose,Branta hutchinsii,,
Canada Goose,Branta canadensis,,
Hawaiian Goose,Branta sandvicensis,"Barnacla Nen�, Barnacla Hawaiana, Nene",
,Branta hrota,Pale-bellied Brent Goose,
,Branta nigricans,Black Brant,
,Branta canadensis,,
Emperor Goose,Anser canagicus,Ansar Emperador,Anser canagica; Anas canagica; Chen canagicus; Chen canagica
Snow Goose,Anser caerulescens,,Anser caerulescens; Chen caerulescens
Ross's Goose,Anser rossii,,Anser rossi; Anser rossii; Chen rossii
Bar-headed Goose,Anser indicus,,
Greylag Goose,Anser anser,,
Swan Goose,Anser cygnoid,,Anser cygnoides
Bean Goose,Anser fabalis,Oie des moissons,
Pink-footed Goose,Anser brachyrhynchus,,
Greater White-fronted Goose,Anser albifrons,"Oie rieuse, White-fronted Goose",
Lesser White-fronted Goose,Anser erythropus,,
,Anser serrirostris,"Tundra Bean-Goose, Tundra Bean Goose",
,Anser middendorfi,,
Long-tailed Duck,Clangula hyemalis,Pato havelda,
Spectacled Eider,Somateria fischeri,,
King Eider,Somateria spectabilis,,
Common Eider,Somateria mollissima,"Eider, Eider com�n",
Steller's Eider,Polysticta stelleri,"Eider de Steller , Eider chico",
Surf Scoter,Melanitta perspicillata,,
Velvet Scoter,Melanitta fusca,Negr�n especulado,Melanitta fusca
Siberian Scoter,Melanitta stejnegeri,Stejneger's Scoter,Melanitta fusca
White-winged Scoter,Melanitta deglandi,,
Common Scoter,Melanitta nigra,,
Black Scoter,Melanitta americana,American Scoter,
,Melanitta nigra,Macreuse noire,
,Melanitta fusca,,
Bufflehead,Bucephala albeola,,
Common Goldeneye,Bucephala clangula,Goldeneye,
Barrow's Goldeneye,Bucephala islandica,,
Smew,Mergellus albellus,,Mergus albellus
Hooded Merganser,Lophodytes cucullatus,,Mergus cucullatus
Goosander,Mergus merganser,,
Scaly-sided Merganser,Mergus squamatus,Chinese Merganser,
Red-breasted Merganser,Mergus serrator,,
Auckland Merganser,Mergus australis,Auckland Island Merganser,
Brazilian Merganser,Mergus octosetaceus,,
Harlequin Duck,Histrionicus histrionicus,Harlequin,
Labrador Duck,Camptorhynchus labradorius,Eider du Labrador,
Orinoco Goose,Neochen jubata,,Neochen jubatus
Andean Goose,Chloephaga melanoptera,,
Upland Goose,Chloephaga picta,,
Kelp Goose,Chloephaga hybrida,,
Ashy-headed Goose,Chloephaga poliocephala,,
Ruddy-headed Goose,Chloephaga rubidiceps,,
Radjah Shelduck,Radjah radjah,Raja Shelduck,Tadorna radjah
Egyptian Goose,Alopochen aegyptiaca,Oie d'Egypte,Alopochen aegyptiacus
Mauritius Shelduck,Alopochen mauritiana,Mauritian Shelduck,Alopochen mauritianus
Reunion Shelduck,Alopochen kervazoi,R�union Shelduck,Mascarenachen kervazoi
Common Shelduck,Tadorna tadorna,"Shelduck, Tadorne de Belon",
Ruddy Shelduck,Tadorna ferruginea,Tadorne casarca,
South African Shelduck,Tadorna cana,Tadorne � t�te grise,
Australian Shelduck,Tadorna tadornoides,Chestnut-breasted Shelduck,
Paradise Shelduck,Tadorna variegata,,Tadorna variegate
Crested Shelduck,Tadorna cristata,,
Spur-winged Goose,Plectropterus gambensis,Oie-arm�e de Gambie,
Muscovy Duck,Cairina moschata,,
American Comb Duck,Sarkidiornis sylvicola,,
African Comb Duck,Sarkidiornis melanotos,,
,Sarkidiornis melanotos,"Canard � bosse, Knob-billed Duck",
African Pygmy-goose,Nettapus auritus,"Anserelle naine, Pygmy Goose, African Pygmy Goose",
Cotton Pygmy-goose,Nettapus coromandelianus,"Cotton Pygmy-Goose, Cotton Pygmy Goose",
Green Pygmy-goose,Nettapus pulchellus,Green Pygmy Goose,
Ringed Teal,Callonetta leucophrys,,
Wood Duck,Aix sponsa,,
Mandarin Duck,Aix galericulata,Mandarin,
Maned Duck,Chenonetta jubata,,
Finsch's Duck,Chenonetta finschi,,
Blue Duck,Hymenolaimus malacorhynchos,"Whio, Ko whio whio",
Torrent Duck,Merganetta armata,,
Hartlaub's Duck,Pteronetta hartlaubii,"Pato de Hartlaub, Canard de Hartlaub, Pt�ronette de Hartlaub",Pteronetta hartlaubi
Blue-winged Goose,Cyanochen cyanoptera,"Ganso Aliazul, Ouette � ailes bleues",Cyanochen cyanopterus
Marbled Teal,Marmaronetta angustirostris,"Marbled Duck, Sarcelle marbr�e",
White-winged Duck,Asarcornis scutulata,"White-winged Wood Duck, Pato Almizclero Aliblanco, Pato de Jungla",Cairina scutulata
Red-crested Pochard,Netta rufina,,
Rosy-billed Pochard,Netta peposaca,,
Southern Pochard,Netta erythrophthalma,Nette brune,
Common Pochard,Aythya ferina,"Pochard, Northern Pochard, Fuligule milouin",
Redhead,Aythya americana,,
Canvasback,Aythya valisineria,,
Hardhead,Aythya australis,White-eyed Duck,
Madagascar Pochard,Aythya innotata,Fuligule de Madagascar,
Baer's Pochard,Aythya baeri,,
Ferruginous Duck,Aythya nyroca,"Ferruginous Pochard, White-eyed Pochard, Porr�n Pardo, Fuligule nyroca",
New Zealand Scaup,Aythya novaeseelandiae,,
Ring-necked Duck,Aythya collaris,,
Tufted Duck,Aythya fuligula,Fuligule morillon,
Greater Scaup,Aythya marila,Scaup,
Lesser Scaup,Aythya affinis,,
Pink-headed Duck,Rhodonessa caryophyllacea,Pato Cabecirrosa,
Salvadori's Teal,Salvadorina waigiuensis,,
Flying Steamerduck,Tachyeres patachonicus,"Flying Steamer-Duck, Flying Steamer Duck",
White-headed Steamerduck,Tachyeres leucocephalus,"Chubut Steamerduck, White-headed Steamer-Duck, Chubut Steamer Duck, Pato vapor cabeza blanca, Patovapor cabeciblanco",
Magellanic Steamerduck,Tachyeres pteneres,"Flightless Steamer-Duck, Fuegian Steamer Duck",
Falkland Steamerduck,Tachyeres brachypterus,"Falkland Steamer Duck, Falkland Steamer-Duck",
Crested Duck,Lophonetta specularioides,,Anas specularioides
Spectacled Duck,Speculanas specularis,Bronze-winged Duck,Anas specularis
Brazilian Teal,Amazonetta brasiliensis,,
Garganey,Spatula querquedula,Sarcelle d'�t�,Anas querquedula
Hottentot Teal,Spatula hottentota,Sarcelle hottentote,Anas hottentota
Puna Teal,Spatula puna,,Anas puna
Silver Teal,Spatula versicolor,,Anas versicolor
Red Shoveler,Spatula platalea,,Anas platalea
Cape Shoveler,Spatula smithii,Canard du Cap,Anas smithii
Australian Shoveler,Spatula rhynchotis,,Anas rhynchotis
Northern Shoveler,Spatula clypeata,"Canard souchet, Shoveler",Anas clypeata
Cinnamon Teal,Spatula cyanoptera,,Anas cyanoptera
Blue-winged Teal,Spatula discors,Sarcelle � ailes bleues,Anas discors
Baikal Teal,Sibirionetta formosa,Cerceta del Baikal,Anas formosa
Falcated Duck,Mareca falcata,Falcated Teal,Anas falcata
Gadwall,Mareca strepera,Canard chipeau,Anas strepera
Eurasian Wigeon,Mareca penelope,"European Wigeon, Wigeon, Canard siffleur",Anas penelope
American Wigeon,Mareca americana,Canard siffleur d'Am�rique,Anas americana
Chiloe Wigeon,Mareca sibilatrix,,Anas sibilatrix
African Black Duck,Anas sparsa,Canard noir�tre,
Yellow-billed Duck,Anas undulata,Canard � bec jaune,
Meller's Duck,Anas melleri,Canard de Meller,
Pacific Black Duck,Anas superciliosa,Grey Duck,
Philippine Duck,Anas luzonica,,
Chinese Spot-billed Duck,Anas zonorhyncha,,Anas poecilorhyncha
Indian Spot-billed Duck,Anas poecilorhyncha,,
Laysan Duck,Anas laysanensis,"Pato Real de Laysan, Laysan Teal",
Mallard,Anas platyrhynchos,"Canard colvert, Common Mallard, Northern Mallard",
American Black Duck,Anas rubripes,Black Duck,
Mottled Duck,Anas fulvigula,,
Hawaiian Duck,Anas wyvilliana,Koloa Maoli,
Mauritius Duck,Anas theodori,Mauritian Duck,
Andaman Teal,Anas albogularis,,
Sunda Teal,Anas gibberifrons,,
Grey Teal,Anas gracilis,,
Chestnut Teal,Anas castanea,,
Brown Teal,Anas chlorotis,Pateke,
Auckland Teal,Anas aucklandica,Cerceta Alicorta de Auckland,
Campbell Teal,Anas nesiotis,,
Madagascar Teal,Anas bernieri,"Pato de Bernier, Cerceta Malgache, Sarcelle malgache de Bernier, Sarcelle de Madagascar, Cerceta de Madagascar, Canard de Bernier, Sarcelle de Bernier, Bernier's Teal",
Cape Teal,Anas capensis,Sarcelle du Cap,
White-cheeked Pintail,Anas bahamensis,,
Red-billed Teal,Anas erythrorhyncha,Canard � bec rouge,
Northern Pintail,Anas acuta,"Canard pilet, Pintail",
Southern Pintail,Anas eatoni,Kerguelen Pintail,
Amsterdam Duck,Anas marecula,Amsterdam Island Duck,
Yellow-billed Pintail,Anas georgica,,
Common Teal,Anas crecca,"Eurasian Teal, Sarcelle d'hiver, Teal, Green-winged Teal",
Andean Teal,Anas andium,,Anas flavirostris
Yellow-billed Teal,Anas flavirostris,,
,Anas diazi,Mexican Mallard,
,Anas carolinensis,Green-winged Teal,
,Anas poecilorhyncha,Spot-billed Duck,
,Anas flavirostris,Speckled Teal,
,Anas oustaleti,Marianas Mallard,
,Anas gibberifrons,,
,Anas aucklandica,,
,Anas crecca,,
Little Grebe,Tachybaptus ruficollis,Gr�be castagneux,
Australasian Grebe,Tachybaptus novaehollandiae,Eastern Little Grebe,
Madagascar Grebe,Tachybaptus pelzelnii,"Madagascar Dabchick, Gr�be malgache, Madagascar Little Grebe",
Alaotra Grebe,Tachybaptus rufolavatus,"Madagascar Red-necked Grebe, Gr�be de Delacour, Alaotra Dabchick, Delacour's Little Grebe",
Least Grebe,Tachybaptus dominicus,,
,Tachybaptus tricolor,,
Pied-billed Grebe,Podilymbus podiceps,,
Atitlan Grebe,Podilymbus gigas,"Atitl�n Grebe, Giant Grebe, Giant Pied-billed Grebe, Poc de Atitl�n, Somormujo de Atitl�n, Zambullidor de Atitl�n, Zampull�n del Atitl�n",
White-tufted Grebe,Rollandia rolland,,
Titicaca Grebe,Rollandia microptera,"Titikakataucher, Short-winged Grebe, Zampull�n del Titicaca",
Hoary-headed Grebe,Poliocephalus poliocephalus,,
New Zealand Grebe,Poliocephalus rufopectus,New Zealand Dabchick,
Great Grebe,Podiceps major,,
Red-necked Grebe,Podiceps grisegena,,
Great Crested Grebe,Podiceps cristatus,Gr�be hupp�,
Horned Grebe,Podiceps auritus,"Slavonian Grebe, Zampull�n cuellirrojo",
Black-necked Grebe,Podiceps nigricollis,"Eared Grebe, Gr�be � cou noir",
Colombian Grebe,Podiceps andinus,,
Northern Silvery Grebe,Podiceps juninensis,,
Southern Silvery Grebe,Podiceps occipitalis,,
Junin Grebe,Podiceps taczanowskii,"Jun�n Grebe, Puna Grebe",
Hooded Grebe,Podiceps gallardoi,,
,Podiceps occipitalis,,
Western Grebe,Aechmophorus occidentalis,,
Clark's Grebe,Aechmophorus clarkii,,
Greater Flamingo,Phoenicopterus roseus,,
American Flamingo,Phoenicopterus ruber,Caribbean Flamingo,
Chilean Flamingo,Phoenicopterus chilensis,Flamenco Chileno,
,Phoenicopterus ruber,Flamant rose,
Lesser Flamingo,Phoeniconaias minor,"Petit flamant, Flamant nain, Flamenco Enano",Phoenicopterus minor
Andean Flamingo,Phoenicoparrus andinus,"Parina Grande, Flamenco Andino",
Puna Flamingo,Phoenicoparrus jamesi,"Flamenco de James, Flamenco Andino Chico, James's Flamingo, Parina Chica",Phoenicopterus jamesi
Red-billed Tropicbird,Phaethon aethereus,Pha�ton � bec rouge,
Red-tailed Tropicbird,Phaethon rubricauda,Pha�ton � queue rouge,
White-tailed Tropicbird,Phaethon lepturus,Pha�ton � queue blanche,
Kagu,Rhynochetos jubatus,Kag�,
Sunbittern,Eurypyga helias,,
White-breasted Mesite,Mesitornis variegatus,"M�site vari�e, White-breasted Roatelo",
Brown Mesite,Mesitornis unicolor,"Brown Roatelo, M�site unicolore",
Subdesert Mesite,Monias benschi,"Bensch's Mesite, Monias, Monias de Bensch",
Rock Dove,Columba livia,"Rock DoveI, Common Pigeon, Pigeon Biset",
Hill Pigeon,Columba rupestris,,
Snow Pigeon,Columba leuconota,,
Speckled Pigeon,Columba guinea,Pigeon de Guin�e,
White-collared Pigeon,Columba albitorques,Pigeon � collier blanc,
Stock Dove,Columba oenas,Stock Pigeon,
Yellow-eyed Pigeon,Columba eversmanni,"Yellow-eyed Dove, Yellow-eyed Stock Dove",
Somali Pigeon,Columba oliviae,"Somali Stock Dove, Pigeon de Somalie",
Common Woodpigeon,Columba palumbus,"Common Wood-Pigeon, Common Wood Pigeon, Wood Pigeon, Pigeon ramier, Woodpigeon",
Madeira Laurel-pigeon,Columba trocaz,"Long-toed Pigeon, Trocaz Pigeon",
Dark-tailed Laurel-pigeon,Columba bollii,"Bolle's Pigeon, Bolle's Laurel Pigeon",
White-tailed Laurel-pigeon,Columba junoniae,"Laurel Pigeon, Paloma Rabiche",
Afep Pigeon,Columba unicincta,Pigeon gris,
African Olive-pigeon,Columba arquatrix,"African Olive-Pigeon, African Olive Pigeon",
Cameroon Olive-pigeon,Columba sjostedti,"Cameroon Olive-Pigeon, Cameroon Olive Pigeon",
Sao Tome Olive-pigeon,Columba thomensis,"Sao Tome Olive Pigeon, Sao Tome Olive-Pigeon, Maroon Pigeon",
Comoro Olive-pigeon,Columba pollenii,"Comoro Olive-Pigeon, Pigeon des Comores, Comoros Rameron Pigeon, Comoros Olive Pigeon",
Speckled Woodpigeon,Columba hodgsonii,"Speckled Wood Pigeon, Speckled Wood-Pigeon",
White-naped Pigeon,Columba albinucha,Pigeon � nuque blanche,
Ashy Woodpigeon,Columba pulchricollis,"Ashy Wood-Pigeon, Ashy Wood Pigeon",
Nilgiri Woodpigeon,Columba elphinstonii,"Nilgiri Wood-Pigeon, Nilgiri Wood Pigeon",
Sri Lanka Woodpigeon,Columba torringtoniae,"Ceylon Wood-Pigeon, Sri Lanka Wood Pigeon",Columba torringtoni
Pale-capped Pigeon,Columba punicea,Purple Wood-pigeon,
Silvery Pigeon,Columba argentina,"Silvery Wood-Pigeon, Grey Wood-pigeon",
Andaman Woodpigeon,Columba palumboides,"Andaman Wood-Pigeon, Andaman Wood Pigeon",
Japanese Woodpigeon,Columba janthina,"Japanese Wood Pigeon, Japanese Wood-Pigeon",
Bonin Woodpigeon,Columba versicolor,Bonin Wood-Pigeon,
Ryukyu Woodpigeon,Columba jouyi,Ryukyu Wood Pigeon,
Metallic Pigeon,Columba vitiensis,,
White-headed Pigeon,Columba leucomela,,
Yellow-legged Pigeon,Columba pallidiceps,,
Eastern Bronze-naped Pigeon,Columba delegorguei,,
Western Bronze-naped Pigeon,Columba iriditorques,,
Sao Tome Bronze-naped Pigeon,Columba malherbii,"Island Bronze-naped Pigeon, Sao Tom� Bronze-naped Pigeon, S�o Tom� Bronze-naped Pigeon",
Mauritius Woodpigeon,Columba thiriouxi,,
,Columba delegorguei,"Pigeon de D�l�gorgue, Bronze-naped Pigeon",
,Columba arquatrix,"Pigeon rameron, Rameron Pigeon",
Lemon Dove,Aplopelia larvata,"Cinnamon Dove, Pigeon � masque blanc",Columba larvata
European Turtle-dove,Streptopelia turtur,"European Turtle Dove, Turtle Dove, Tourterelle des bois, European Turtle-Dove",
Dusky Turtle-dove,Streptopelia lugens,"Pink-breasted Turtle Dove, Tourterelle � poitrine rose, Dusky Turtle-Dove, Dusky Turtle Dove",
Adamawa Turtle-dove,Streptopelia hypopyrrha,"Tourterelle de l'Adamaoua, Adamawa Turtle-Dove, Adamawa Turtle Dove",
Oriental Turtle-dove,Streptopelia orientalis,"Oriental Turtle-Dove, Oriental Turtle Dove, Rufous Turtle Dove",
Philippine Collared-dove,Streptopelia dusumieri,,
Sunda Collared-dove,Streptopelia bitorquata,"Island Collared-Dove, Island Collared Dove, Island Collared-dove",
Eurasian Collared-dove,Streptopelia decaocto,Collared Dove,
Burmese Collared-dove,Streptopelia xanthocycla,,
African Collared-dove,Streptopelia roseogrisea,"Ringed Turtle-Dove, African Collared Dove, Rose-grey Dove, Tourterelle rieuse, African Collared-Dove, Barbary Dove",Streptopelia risoria
White-winged Collared-dove,Streptopelia reichenowi,"White-winged Collared Dove, White-winged Collared-Dove, Tourterelle � ailes blanches",
Mourning Collared-dove,Streptopelia decipiens,"Mourning Collared-Dove, Tourterelle pleureuse, African Mourning Dove, Mourning Collared Dove",
Red-eyed Dove,Streptopelia semitorquata,Tourterelle � collier,
Ring-necked Dove,Streptopelia capicola,"Tourterelle du Cap, Cape Turtle Dove",
Vinaceous Dove,Streptopelia vinacea,Tourterelle vineuse,
Red Turtle-dove,Streptopelia tranquebarica,"Red Collared Dove, Red Turtle Dove, Red Collared-Dove",
,Streptopelia bitorquata,"Island Collared-Dove, Island Collared Dove",
,Streptopelia decaocto,"Collared Dove, Eurasian Collared Dove, Eurasian Collared-Dove",
Eastern Spotted Dove,Spilopelia chinensis,Spotted Dove,Stigmatopelia chinensis
Western Spotted Dove,Spilopelia suratensis,Spotted Dove,Stigmatopelia chinensis
Laughing Dove,Spilopelia senegalensis,"Laughing Turtle-Dove, Tourterelle maill�e",Streptopelia senegalensis; Stigmatopelia senegalensis
Madagascar Turtle-dove,Nesoenas picturatus,"Malagasy Turtle Dove, Tourterelle peinte, Madagascar Turtle-Dove",Columba picturata; Streptopelia picturata
Pink Pigeon,Nesoenas mayeri,"Pigeon rose, Paloma de Mauricio",Streptopelia mayeri
Reunion Pigeon,Nesoenas duboisi,R�union Pigeon,Columba duboisi
Mauritius Turtle-dove,Nesoenas cicur,,
Rodrigues Turtle-dove,Nesoenas rodericanus,Rodrigues Pigeon,Alectroenas rodericana
,Nesoenas picturata,,
